23	24	16	23	14	24	22	21	23	26	24	21	28	23	26	19
24	21	15	21	18	23	24	26	16	22	19	21	19	21	21	18
15	21	16	21	19	21	22	21	18	22	19	21	23	23	24	21
22	19	16	20	17	23	19	18	23	19	18	19	18	18	26	21
17	14	14	20	18	16	19	18	23	18	16	16	20	21	21	20
18	16	16	17	16	18	18	20	18	16	19	16	21	18	18	19
18	18	15	17	16	18	12	27	18	19	19	18	21	16	21	21
18	20	13	19	16	18	17	18	18	21	16	21	18	21	19	21
14	12	13	17	19	16	19	16	21	20	23	19	18	15	16	19
18	13	18	19	16	16	19	21	23	18	21	19	16	19	19	23
21	14	18	16	18	19	19	21	23	16	23	18	21	25	19	20
19	18	16	18	12	17	19	21	25	24	24	21	19	28	21	13
21	21	16	21	19	18	25	25	25	18	25	19	23	32	23	16
25	21	19	16	18	19	25	19	23	23	26	20	18	40	21	24
28	28	17	21	23	21	25	21	21	28	30	19	21	36	25	23
28	28	18	34	34	19	25	25	25	29	32	24	19	35	24	22
25	30	19	23	16	21	33	21	25	39	38	28	18	33	25	24
24	31	21	15	34	22	33	20	25	39	38	36	15	37	34	30
27	37	24	38	30	22	35	24	35	47	34	31	20	45	35	28
33	39	25	35	35	32	34	31	35	46	39	30	28	44	36	35
36	36	31	35	47	36	38	33	34	38	39	44	33	37	39	41
41	44	37	45	39	40	54	38	41	23	34	45	35	52	48	30
41	44	46	46	44	51	47	30	40	42	49	55	39	29	42	41
50	47	78	45	38	54	47	49	40	43	39	44	47	45	35	31
46	42	54	51	38	51	54	37	42	44	44	22	41	45	51	51
54	58	56	63	25	61	59	32	39	53	25	35	30	35	28	57
23	30	50	39	22	54	43	30	52	53	50	27	67	29	54	58
42	47	59	47	50	61	28	54	45	41	48	31	53	48	57	63
52	50	64	52	58	63	21	61	37	56	40	50	40	50	62	54
62	55	64	44	19	45	57	41	52	55	38	61	23	51	50	44
52	60	38	60	43	57	42	66	12	37	69	54	31	64	18	35
65	61	59	54	44	61	55	61	16	59	59	41	66	56	51	61
61	59	65	45	67	30	49	46	56	52	62	57	58	64	65	64
59	61	65	65	59	65	65	69	62	66	65	63	69	66	58	60
65	59	53	67	62	60	60	66	63	58	62	63	66	63	73	64
64	57	64	64	59	61	65	76	61	59	65	61	71	61	59	67
64	47	57	61	51	60	61	66	62	62	58	59	62	54	61	61
62	40	48	55	53	58	56	57	54	57	47	52	57	53	49	51
53	34	39	46	47	48	49	54	49	52	42	42	51	38	38	43
44	34	30	35	37	38	46	49	38	41	35	38	40	34	33	42
33	28	30	33	39	32	38	38	35	39	31	36	40	29	36	30
36	22	28	29	28	33	33	38	28	28	29	29	38	31	30	29
28	25	29	27	28	30	29	28	28	29	29	29	28	29	27	28
27	26	28	28	27	27	28	31	26	27	25	28	29	27	25	28
25	22	27	28	25	25	28	28	27	25	26	26	26	25	22	28
26	21	26	23	26	22	22	26	26	23	24	28	24	26	17	28
